,Estados,ID,Homicidio,Delitos_con_violencia,Delitos_con_armas_fuego,Delincuencia_organizada,Carcel_Sin_sentencia,Impacto_economico_de_la_violencia,Impacto_economico_per_capita_de_la_violencia,porcen_pib,cluster
0,AGUASCALIENTES,AS,1.368,3.167,1.49,3.425,1.307,51.9,36158.0,14.5,3
1,BAJA_CALIFORNIA,BC,5.0,3.296,5.0,5.0,2.11,259.6,71413.0,31.5,1
2,BAJA_CALIFORNIA_SUR,BS,1.554,3.411,1.274,5.0,1.496,28.8,35761.0,13.4,3
3,CAMPECHE,CC,1.533,1.223,1.345,1.723,4.297,21.6,21543.0,2.2,2
4,CHIAPAS,CS,1.544,1.444,1.372,1.629,2.874,78.7,13742.0,17.8,2
5,CHIHUAHUA,CH,5.0,2.641,4.894,3.29,1.785,233.9,61538.0,29.0,1
6,COAHUILA,CL,1.495,2.274,1.312,3.204,1.766,59.0,18344.0,6.2,3
7,COLIMA,CM,5.0,3.344,5.0,4.224,1.418,61.2,77957.0,38.4,1
8,DURANGO,DG,1.649,2.463,1.455,2.904,2.196,38.6,20650.0,11.5,3
9,GUANAJUATO,GT,5.0,3.313,5.0,2.657,1.28,420.6,67536.0,41.9,1
10,GUERRERO,GR,3.485,2.308,3.337,3.962,1.499,138.7,37922.0,41.6,1
11,HIDALGO,HG,1.72,2.732,1.756,1.672,1.488,78.1,25302.0,19.8,3
12,JALISCO,JC,3.008,2.916,2.433,2.589,1.822,323.5,38466.0,17.7,3
13,ESTADO_DE_Mï¿½XICO,MC,2.06,4.783,2.38,3.536,1.271,589.7,33836.0,25.3,3
14,CIUDAD_DE_Mï¿½XICO,DF,1.933,4.107,2.285,2.378,1.479,400.0,44355.0,7.3,3
15,MICHOACï¿½N,MN,4.195,2.225,4.41,1.856,1.798,242.8,50321.0,40.0,1
16,MORELOS,MS,3.942,3.429,3.094,2.42,1.414,106.5,52101.0,38.7,1
17,NAYARIT,NT,1.891,1.266,1.499,1.614,5.0,28.6,22219.0,14.2,2
18,NUEVO_LEï¿½N,NL,2.023,2.727,2.421,3.393,1.503,155.3,27681.0,7.4,3
19,OAXACA,OC,2.487,2.55,2.573,1.628,1.606,130.8,31565.0,35.8,3
20,PUEBLA,PL,1.984,2.654,1.936,1.561,1.716,206.2,31227.0,21.9,3
21,QUERï¿½TARO,QT,1.584,3.013,1.608,4.084,1.29,99.3,43574.0,14.4,3
22,QUINTANA_ROO,QR,3.419,3.944,2.755,3.689,1.551,80.8,46871.0,23.0,3
23,SAN_LUIS_POTOSï¿½,SP,2.662,2.963,2.724,4.167,1.437,91.9,32053.0,17.0,3
24,SINALOA,SL,2.601,2.595,2.401,2.747,1.387,101.3,32089.0,17.3,3
25,SONORA,SR,4.3,2.28,3.412,3.234,2.268,147.9,48117.0,17.0,1
26,TABASCO,TC,2.501,3.36,2.335,1.942,1.464,85.2,33133.0,11.2,3
27,TAMAULIPAS,TS,2.237,2.783,1.747,2.396,1.35,107.3,29404.0,13.9,3
28,TLAXCALA,TL,1.583,1.305,1.289,1.581,3.098,28.0,20310.0,15.4,2
29,VERACRUZ,VZ,2.135,2.178,2.199,2.316,1.569,196.9,23060.0,16.1,3
30,YUCATï¿½N,YN,1.167,1.133,1.042,1.454,2.697,25.2,11146.0,4.8,2
31,ZACATECAS,ZS,5.0,2.754,4.647,5.0,1.404,96.6,57953.0,44.1,1
