Estados ,Impacto_economico_de_la_violencia,Impacto_economico_per_capita_de_la_violencia,porcen_pib,
AGUASCALIENTES,51.9,"36,158",14.5,%
BAJA_CALIFORNIA,259.6,"71,413",31.5,%
BAJA_CALIFORNIA_SUR,28.8,"35,761",13.4,%
CAMPECHE,21.6,"21,543",2.2,%
CHIAPAS,78.7,"13,742",17.8,%
CHIHUAHUA,233.9,"61,538",29,%
COAHUILA,59,"18,344",6.2,%
COLIMA,61.2,"77,957",38.4,%
DURANGO,38.6,"20,650",11.5,%
GUANAJUATO,420.6,"67,536",41.9,%
GUERRERO,138.7,"37,922",41.6,%
HIDALGO,78.1,"25,302",19.8,%
JALISCO,323.5,"38,466",17.7,%
ESTADO_DE_MÉXICO,589.7,"33,836",25.3,%
CIUDAD_DE_MÉXICO,400,"44,355",7.3,%
MICHOACÁN,242.8,"50,321",40,%
MORELOS,106.5,"52,101",38.7,%
NAYARIT,28.6,"22,219",14.2,%
NUEVO_LEÓN,155.3,"27,681",7.4,%
OAXACA,130.8,"31,565",35.8,%
PUEBLA,206.2,"31,227",21.9,%
QUERÉTARO,99.3,"43,574",14.4,%
QUINTANA_ROO,80.8,"46,871",23,%
SAN_LUIS_POTOSÍ,91.9,"32,053",17,%
SINALOA,101.3,"32,089",17.3,%
SONORA,147.9,"48,117",17,%
TABASCO,85.2,"33,133",11.2,%
TAMAULIPAS,107.3,"29,404",13.9,%
TLAXCALA,28,"20,310",15.4,%
VERACRUZ,196.9,"23,060",16.1,%
YUCATÁN,25.2,"11,146",4.8,%
ZACATECAS,96.6,"57,953",44.1,%
