Estados,Homicidio,Delitos_con_violencia,Delitos_con_armas_fuego,Delincuencia_organizada,Carcel_Sin_sentencia
AGUASCALIENTES,1.368,3.167,1.49,3.425,1.307
BAJA_CALIFORNIA,5,3.296,5,5,2.11
BAJA_CALIFORNIA_SUR,1.554,3.411,1.274,5,1.496
CAMPECHE,1.533,1.223,1.345,1.723,4.297
CHIAPAS,1.544,1.444,1.372,1.629,2.874
CHIHUAHUA,5,2.641,4.894,3.29,1.785
COAHUILA,1.495,2.274,1.312,3.204,1.766
COLIMA,5,3.344,5,4.224,1.418
DURANGO,1.649,2.463,1.455,2.904,2.196
GUANAJUATO,5,3.313,5,2.657,1.28
GUERRERO,3.485,2.308,3.337,3.962,1.499
HIDALGO,1.72,2.732,1.756,1.672,1.488
JALISCO,3.008,2.916,2.433,2.589,1.822
ESTADO_DE_MÉXICO,2.06,4.783,2.38,3.536,1.271
CIUDAD_DE_MÉXICO,1.933,4.107,2.285,2.378,1.479
MICHOACÁN,4.195,2.225,4.41,1.856,1.798
MORELOS,3.942,3.429,3.094,2.42,1.414
NAYARIT,1.891,1.266,1.499,1.614,5
NUEVO_LEÓN,2.023,2.727,2.421,3.393,1.503
OAXACA,2.487,2.55,2.573,1.628,1.606
PUEBLA,1.984,2.654,1.936,1.561,1.716
QUERÉTARO,1.584,3.013,1.608,4.084,1.29
QUINTANA_ROO,3.419,3.944,2.755,3.689,1.551
SAN_LUIS_POTOSÍ,2.662,2.963,2.724,4.167,1.437
SINALOA,2.601,2.595,2.401,2.747,1.387
SONORA,4.3,2.28,3.412,3.234,2.268
TABASCO,2.501,3.36,2.335,1.942,1.464
TAMAULIPAS,2.237,2.783,1.747,2.396,1.35
TLAXCALA,1.583,1.305,1.289,1.581,3.098
VERACRUZ,2.135,2.178,2.199,2.316,1.569
YUCATÁN,1.167,1.133,1.042,1.454,2.697
ZACATECAS,5,2.754,4.647,5,1.404
