Clasificacion,Estados,Calif_total,Homicidio,Delitos_con_violencia,Delitos_armas_fuego,Delincuencia_organizada,Carcel_sin_sentencia,Cambio,2020-2021,Cambio
1,Yucatán,1.318,1.167,1.133,1.042,1.454,2.697,0.066,Arrows-alt-h,
2,Tlaxcala,1.587,1.583,1.305,1.289,1.581,3.098,0.032,Arrows-alt-h,
3,Chiapas,1.613,1.544,1.444,1.372,1.629,2.874,-0.064,Arrows-alt-h,
4,Campeche,1.691,1.533,1.223,1.345,1.723,4.297,-0.267,long-arrow-alt-up,1
5,Nayarit,1.872,1.891,1.266,1.499,1.614,5,-0.081,LONG-ARROW-ALT-DOWN,1
6,Hidalgo,1.911,1.72,2.732,1.756,1.672,1.488,-0.125,Arrows-alt-h,
7,Coahuila,2.003,1.495,2.274,1.312,3.204,1.766,-0.041,Arrows-alt-h,
8,Puebla,2.005,1.984,2.654,1.936,1.561,1.716,-0.248,long-arrow-alt-up,1
9,Durango,2.088,1.649,2.463,1.455,2.904,2.196,-0.082,LONG-ARROW-ALT-DOWN,1
10,Veracruz,2.15,2.135,2.178,2.199,2.316,1.569,-0.249,long-arrow-alt-up,2
11,Aguascalientes,2.197,1.368,3.167,1.49,3.425,1.307,-0.075,LONG-ARROW-ALT-DOWN,1
12,Tamaulipas,2.216,2.237,2.783,1.747,2.396,1.35,-0.199,long-arrow-alt-up,1
13,Oaxaca,2.266,2.487,2.55,2.573,1.628,1.606,-0.2,long-arrow-alt-up,1
14,Querétaro,2.39,1.584,3.013,1.608,4.084,1.29,0.043,LONG-ARROW-ALT-DOWN,3
15,Tabasco,2.448,2.501,3.36,2.335,1.942,1.464,-0.481,long-arrow-alt-up,6
16,Sinaloa,2.493,2.601,2.595,2.401,2.747,1.387,-0.157,long-arrow-alt-up,1
17,Nuevo_León,2.496,2.023,2.727,2.421,3.393,1.503,-0.094,LONG-ARROW-ALT-DOWN,1
18,Ciudad_de_México,2.517,1.933,4.107,2.285,2.378,1.479,-0.505,long-arrow-alt-up,6
19,Baja_California_Sur,2.607,1.554,3.411,1.274,5,1.496,-0.101,LONG-ARROW-ALT-DOWN,1
20,Jalisco,2.691,3.008,2.916,2.433,2.589,1.822,-0.136,LONG-ARROW-ALT-DOWN,1
21,Estado_de_México,2.943,2.06,4.783,2.38,3.536,1.271,0.034,LONG-ARROW-ALT-DOWN,1
22,San_Luis_Potosi,2.956,2.662,2.963,2.724,4.167,1.437,0.366,LONG-ARROW-ALT-DOWN,7
23,Michoacán,3.142,4.195,2.225,4.41,1.856,1.798,0.128,Arrows-alt-h,
24,Morelos,3.143,3.942,3.429,3.094,2.42,1.414,-0.224,long-arrow-alt-up,1
25,Guerrero,3.15,3.485,2.308,3.337,3.962,1.499,-0.5,long-arrow-alt-up,2
26,Quintana_Roo,3.304,3.419,3.944,2.755,3.689,1.551,-0.709,long-arrow-alt-up,4
27,Sonora,3.312,4.3,2.28,3.412,3.234,2.268,0.298,LONG-ARROW-ALT-DOWN,5
28,Guanajuato,3.856,5,3.313,5,2.657,1.28,0.167,Arrows-alt-h,
29,Chihuahua,3.867,5,2.641,4.894,3.29,1.785,0.024,Arrows-alt-h,
30,Zacatecas,4.17,5,2.754,4.647,5,1.404,0.749,LONG-ARROW-ALT-DOWN,4
31,Colima,4.203,5,3.344,5,4.224,1.418,-0.027,Arrows-alt-h,
32,Baja_California,4.411,5,3.296,5,5,2.11,-0.055,Arrows-alt-h,
