Estados,ID,Homicidio,Delitos_con_violencia,Delitos_con_armas_fuego,Delincuencia_organizada,Carcel_Sin_sentencia,Impacto_economico_de_la_violencia,Impacto_economico_per_capita_de_la_violencia,porcen_pib
AGUASCALIENTES,AS,1.368,3.167,1.49,3.425,1.307,51.9,36158,14.5
BAJA_CALIFORNIA,BC,5,3.296,5,5,2.11,259.6,71413,31.5
BAJA_CALIFORNIA_SUR,BS,1.554,3.411,1.274,5,1.496,28.8,35761,13.4
CAMPECHE,CC,1.533,1.223,1.345,1.723,4.297,21.6,21543,2.2
CHIAPAS,CS,1.544,1.444,1.372,1.629,2.874,78.7,13742,17.8
CHIHUAHUA,CH,5,2.641,4.894,3.29,1.785,233.9,61538,29
COAHUILA,CL,1.495,2.274,1.312,3.204,1.766,59,18344,6.2
COLIMA,CM,5,3.344,5,4.224,1.418,61.2,77957,38.4
DURANGO,DG,1.649,2.463,1.455,2.904,2.196,38.6,20650,11.5
GUANAJUATO,GT,5,3.313,5,2.657,1.28,420.6,67536,41.9
GUERRERO,GR,3.485,2.308,3.337,3.962,1.499,138.7,37922,41.6
HIDALGO,HG,1.72,2.732,1.756,1.672,1.488,78.1,25302,19.8
JALISCO,JC,3.008,2.916,2.433,2.589,1.822,323.5,38466,17.7
ESTADO_DE_M�XICO,MC,2.06,4.783,2.38,3.536,1.271,589.7,33836,25.3
CIUDAD_DE_M�XICO,DF,1.933,4.107,2.285,2.378,1.479,400,44355,7.3
MICHOAC�N,MN,4.195,2.225,4.41,1.856,1.798,242.8,50321,40
MORELOS,MS,3.942,3.429,3.094,2.42,1.414,106.5,52101,38.7
NAYARIT,NT,1.891,1.266,1.499,1.614,5,28.6,22219,14.2
NUEVO_LE�N,NL,2.023,2.727,2.421,3.393,1.503,155.3,27681,7.4
OAXACA,OC,2.487,2.55,2.573,1.628,1.606,130.8,31565,35.8
PUEBLA,PL,1.984,2.654,1.936,1.561,1.716,206.2,31227,21.9
QUER�TARO,QT,1.584,3.013,1.608,4.084,1.29,99.3,43574,14.4
QUINTANA_ROO,QR,3.419,3.944,2.755,3.689,1.551,80.8,46871,23
SAN_LUIS_POTOS�,SP,2.662,2.963,2.724,4.167,1.437,91.9,32053,17
SINALOA,SL,2.601,2.595,2.401,2.747,1.387,101.3,32089,17.3
SONORA,SR,4.3,2.28,3.412,3.234,2.268,147.9,48117,17
TABASCO,TC,2.501,3.36,2.335,1.942,1.464,85.2,33133,11.2
TAMAULIPAS,TS,2.237,2.783,1.747,2.396,1.35,107.3,29404,13.9
TLAXCALA,TL,1.583,1.305,1.289,1.581,3.098,28,20310,15.4
VERACRUZ,VZ,2.135,2.178,2.199,2.316,1.569,196.9,23060,16.1
YUCAT�N,YN,1.167,1.133,1.042,1.454,2.697,25.2,11146,4.8
ZACATECAS,ZS,5,2.754,4.647,5,1.404,96.6,57953,44.1
